Month,Agency,Projection,Recovery
5/1/2021,BT,Worst Case (May 2020),0.45
5/1/2021,BT,Best Case (Nov 2020),0.98
5/1/2021,BT,Midpoint (Nov 2020),0.915
5/1/2021,BT,Worst Case (Nov 2020),0.85
5/1/2021,BT,Best Case (Dec 2020),0.98
5/1/2021,BT,Midpoint (Dec 2020),0.915
5/1/2021,BT,Worst Case (Dec 2020),0.85
5/1/2021,MTA Consolidated,Best Case (May 2020),0.6
5/1/2021,MTA Consolidated,Midpoint (May 2020),0.425
5/1/2021,MTA Consolidated,Worst Case (May 2020),0.25
5/1/2021,MTA Consolidated,Best Case (Nov 2020),0.44
5/1/2021,MTA Consolidated,Midpoint (Nov 2020),0.345
5/1/2021,MTA Consolidated,Worst Case (Nov 2020),0.25
5/1/2021,MTA Consolidated,Best Case (Dec 2020),0.5
5/1/2021,MTA Consolidated,Midpoint (Dec 2020),0.385
5/1/2021,MTA Consolidated,Worst Case (Dec 2020),0.27
6/1/2021,Subway,Best Case (Dec 2020),0.49
6/1/2021,Subway,Midpoint (Dec 2020),0.37
6/1/2021,Subway,Worst Case (Dec 2020),0.25
6/1/2021,Bus,Best Case (Dec 2020),0.56
6/1/2021,Bus,Midpoint (Dec 2020),0.445
6/1/2021,Bus,Worst Case (Dec 2020),0.33
6/1/2021,LIRR,Best Case (Dec 2020),0.4
6/1/2021,LIRR,Midpoint (Dec 2020),0.305
6/1/2021,LIRR,Worst Case (Dec 2020),0.21
6/1/2021,MNR,Best Case (Dec 2020),0.38
6/1/2021,MNR,Midpoint (Dec 2020),0.275
6/1/2021,MNR,Worst Case (Dec 2020),0.17
6/1/2021,SIR,Best Case (Dec 2020),0.49
6/1/2021,SIR,Midpoint (Dec 2020),0.37
6/1/2021,SIR,Worst Case (Dec 2020),0.25
6/1/2021,BT,Best Case (May 2020),0.75
6/1/2021,BT,Midpoint (May 2020),0.625
6/1/2021,BT,Worst Case (May 2020),0.5
6/1/2021,BT,Best Case (Nov 2020),0.98
6/1/2021,BT,Midpoint (Nov 2020),0.915
6/1/2021,BT,Worst Case (Nov 2020),0.85
6/1/2021,BT,Best Case (Dec 2020),0.98
6/1/2021,BT,Midpoint (Dec 2020),0.915
6/1/2021,BT,Worst Case (Dec 2020),0.85
6/1/2021,MTA Consolidated,Best Case (May 2020),0.625
6/1/2021,MTA Consolidated,Midpoint (May 2020),0.463
6/1/2021,MTA Consolidated,Worst Case (May 2020),0.3
6/1/2021,MTA Consolidated,Best Case (Nov 2020),0.44
6/1/2021,MTA Consolidated,Midpoint (Nov 2020),0.345
6/1/2021,MTA Consolidated,Worst Case (Nov 2020),0.25
6/1/2021,MTA Consolidated,Best Case (Dec 2020),0.5
6/1/2021,MTA Consolidated,Midpoint (Dec 2020),0.385
6/1/2021,MTA Consolidated,Worst Case (Dec 2020),0.27
7/1/2021,Subway,Best Case (Dec 2020),0.68
7/1/2021,Subway,Midpoint (Dec 2020),0.49
7/1/2021,Subway,Worst Case (Dec 2020),0.3
7/1/2021,Bus,Best Case (Dec 2020),0.77
7/1/2021,Bus,Midpoint (Dec 2020),0.575
7/1/2021,Bus,Worst Case (Dec 2020),0.38
7/1/2021,LIRR,Best Case (Dec 2020),0.6
7/1/2021,LIRR,Midpoint (Dec 2020),0.425
7/1/2021,LIRR,Worst Case (Dec 2020),0.25
7/1/2021,MNR,Best Case (Dec 2020),0.56
7/1/2021,MNR,Midpoint (Dec 2020),0.385
7/1/2021,MNR,Worst Case (Dec 2020),0.21
7/1/2021,SIR,Best Case (Dec 2020),0.68
7/1/2021,SIR,Midpoint (Dec 2020),0.49
7/1/2021,SIR,Worst Case (Dec 2020),0.3
7/1/2021,BT,Best Case (May 2020),0.8
7/1/2021,BT,Midpoint (May 2020),0.675
7/1/2021,BT,Worst Case (May 2020),0.55
7/1/2021,BT,Best Case (Nov 2020),1
7/1/2021,BT,Midpoint (Nov 2020),0.935
7/1/2021,BT,Worst Case (Nov 2020),0.87
7/1/2021,BT,Best Case (Dec 2020),1
7/1/2021,BT,Midpoint (Dec 2020),0.935
7/1/2021,BT,Worst Case (Dec 2020),0.87
7/1/2021,MTA Consolidated,Best Case (May 2020),0.65
7/1/2021,MTA Consolidated,Midpoint (May 2020),0.525
7/1/2021,MTA Consolidated,Worst Case (May 2020),0.4
7/1/2021,MTA Consolidated,Best Case (Nov 2020),0.51
7/1/2021,MTA Consolidated,Midpoint (Nov 2020),0.405
7/1/2021,MTA Consolidated,Worst Case (Nov 2020),0.3
7/1/2021,MTA Consolidated,Best Case (Dec 2020),0.7
7/1/2021,MTA Consolidated,Midpoint (Dec 2020),0.51
7/1/2021,MTA Consolidated,Worst Case (Dec 2020),0.32
8/1/2021,Subway,Best Case (Dec 2020),0.68
8/1/2021,Subway,Midpoint (Dec 2020),0.49
8/1/2021,Subway,Worst Case (Dec 2020),0.3
8/1/2021,Bus,Best Case (Dec 2020),0.77
8/1/2021,Bus,Midpoint (Dec 2020),0.575
8/1/2021,Bus,Worst Case (Dec 2020),0.38
8/1/2021,LIRR,Best Case (Dec 2020),0.6
8/1/2021,LIRR,Midpoint (Dec 2020),0.425
8/1/2021,LIRR,Worst Case (Dec 2020),0.25
8/1/2021,MNR,Best Case (Dec 2020),0.56
8/1/2021,MNR,Midpoint (Dec 2020),0.385
8/1/2021,MNR,Worst Case (Dec 2020),0.21
8/1/2021,SIR,Best Case (Dec 2020),0.68
8/1/2021,SIR,Midpoint (Dec 2020),0.49
8/1/2021,SIR,Worst Case (Dec 2020),0.3
8/1/2021,BT,Best Case (May 2020),0.85
8/1/2021,BT,Midpoint (May 2020),0.725
8/1/2021,BT,Worst Case (May 2020),0.6
8/1/2021,BT,Best Case (Nov 2020),1
8/1/2021,BT,Midpoint (Nov 2020),0.935
8/1/2021,BT,Worst Case (Nov 2020),0.87
8/1/2021,BT,Best Case (Dec 2020),1
8/1/2021,BT,Midpoint (Dec 2020),0.935
8/1/2021,BT,Worst Case (Dec 2020),0.87
8/1/2021,MTA Consolidated,Best Case (May 2020),0.675
8/1/2021,MTA Consolidated,Midpoint (May 2020),0.588
8/1/2021,MTA Consolidated,Worst Case (May 2020),0.5
8/1/2021,MTA Consolidated,Best Case (Nov 2020),0.51
8/1/2021,MTA Consolidated,Midpoint (Nov 2020),0.405
8/1/2021,MTA Consolidated,Worst Case (Nov 2020),0.3
8/1/2021,MTA Consolidated,Best Case (Dec 2020),0.7
8/1/2021,MTA Consolidated,Midpoint (Dec 2020),0.51
8/1/2021,MTA Consolidated,Worst Case (Dec 2020),0.32
9/1/2021,Subway,Best Case (Dec 2020),0.68
9/1/2021,Subway,Midpoint (Dec 2020),0.49
9/1/2021,Subway,Worst Case (Dec 2020),0.3
9/1/2021,Bus,Best Case (Dec 2020),0.77
9/1/2021,Bus,Midpoint (Dec 2020),0.575
9/1/2021,Bus,Worst Case (Dec 2020),0.38
9/1/2021,LIRR,Best Case (Dec 2020),0.6
9/1/2021,LIRR,Midpoint (Dec 2020),0.425
9/1/2021,LIRR,Worst Case (Dec 2020),0.25
9/1/2021,MNR,Best Case (Dec 2020),0.56
9/1/2021,MNR,Midpoint (Dec 2020),0.385
9/1/2021,MNR,Worst Case (Dec 2020),0.21
9/1/2021,SIR,Best Case (Dec 2020),0.68
9/1/2021,SIR,Midpoint (Dec 2020),0.49
9/1/2021,SIR,Worst Case (Dec 2020),0.3
9/1/2021,BT,Best Case (May 2020),0.85
9/1/2021,BT,Midpoint (May 2020),0.775
9/1/2021,BT,Worst Case (May 2020),0.7
9/1/2021,BT,Best Case (Nov 2020),1
9/1/2021,BT,Midpoint (Nov 2020),0.935
9/1/2021,BT,Worst Case (Nov 2020),0.87
9/1/2021,BT,Best Case (Dec 2020),1
9/1/2021,BT,Midpoint (Dec 2020),0.935
9/1/2021,BT,Worst Case (Dec 2020),0.87
9/1/2021,MTA Consolidated,Best Case (May 2020),0.7
9/1/2021,MTA Consolidated,Midpoint (May 2020),0.65
9/1/2021,MTA Consolidated,Worst Case (May 2020),0.6
9/1/2021,MTA Consolidated,Best Case (Nov 2020),0.51
9/1/2021,MTA Consolidated,Midpoint (Nov 2020),0.405
9/1/2021,MTA Consolidated,Worst Case (Nov 2020),0.3
9/1/2021,MTA Consolidated,Best Case (Dec 2020),0.7
9/1/2021,MTA Consolidated,Midpoint (Dec 2020),0.51
9/1/2021,MTA Consolidated,Worst Case (Dec 2020),0.32
10/1/2021,Subway,Best Case (Dec 2020),0.78
10/1/2021,Subway,Midpoint (Dec 2020),0.555
10/1/2021,Subway,Worst Case (Dec 2020),0.33
10/1/2021,Bus,Best Case (Dec 2020),0.84
10/1/2021,Bus,Midpoint (Dec 2020),0.62
10/1/2021,Bus,Worst Case (Dec 2020),0.4
10/1/2021,LIRR,Best Case (Dec 2020),0.7
10/1/2021,LIRR,Midpoint (Dec 2020),0.495
10/1/2021,LIRR,Worst Case (Dec 2020),0.29
10/1/2021,MNR,Best Case (Dec 2020),0.64
10/1/2021,MNR,Midpoint (Dec 2020),0.44
10/1/2021,MNR,Worst Case (Dec 2020),0.24
10/1/2021,SIR,Best Case (Dec 2020),0.78
10/1/2021,SIR,Midpoint (Dec 2020),0.555
10/1/2021,SIR,Worst Case (Dec 2020),0.33
10/1/2021,BT,Best Case (May 2020),0.85
10/1/2021,BT,Midpoint (May 2020),0.775
10/1/2021,BT,Worst Case (May 2020),0.7
10/1/2021,BT,Best Case (Nov 2020),0.98
10/1/2021,BT,Midpoint (Nov 2020),0.92
10/1/2021,BT,Worst Case (Nov 2020),0.86
10/1/2021,BT,Best Case (Dec 2020),0.98
10/1/2021,BT,Midpoint (Dec 2020),0.92
10/1/2021,BT,Worst Case (Dec 2020),0.86
10/1/2021,MTA Consolidated,Best Case (May 2020),0.75
10/1/2021,MTA Consolidated,Midpoint (May 2020),0.675
10/1/2021,MTA Consolidated,Worst Case (May 2020),0.6
10/1/2021,MTA Consolidated,Best Case (Nov 2020),0.69
10/1/2021,MTA Consolidated,Midpoint (Nov 2020),0.525
10/1/2021,MTA Consolidated,Worst Case (Nov 2020),0.36
10/1/2021,MTA Consolidated,Best Case (Dec 2020),0.79
10/1/2021,MTA Consolidated,Midpoint (Dec 2020),0.57
10/1/2021,MTA Consolidated,Worst Case (Dec 2020),0.35
11/1/2021,Subway,Best Case (Dec 2020),0.78
11/1/2021,Subway,Midpoint (Dec 2020),0.555
11/1/2021,Subway,Worst Case (Dec 2020),0.33
11/1/2021,Bus,Best Case (Dec 2020),0.84
11/1/2021,Bus,Midpoint (Dec 2020),0.62
11/1/2021,Bus,Worst Case (Dec 2020),0.4
11/1/2021,LIRR,Best Case (Dec 2020),0.7
11/1/2021,LIRR,Midpoint (Dec 2020),0.495
11/1/2021,LIRR,Worst Case (Dec 2020),0.29
11/1/2021,MNR,Best Case (Dec 2020),0.64
11/1/2021,MNR,Midpoint (Dec 2020),0.44
11/1/2021,MNR,Worst Case (Dec 2020),0.24
11/1/2021,SIR,Best Case (Dec 2020),0.78
11/1/2021,SIR,Midpoint (Dec 2020),0.555
11/1/2021,SIR,Worst Case (Dec 2020),0.33
11/1/2021,BT,Best Case (May 2020),0.85
11/1/2021,BT,Midpoint (May 2020),0.775
11/1/2021,BT,Worst Case (May 2020),0.7
11/1/2021,BT,Best Case (Nov 2020),0.98
11/1/2021,BT,Midpoint (Nov 2020),0.92
11/1/2021,BT,Worst Case (Nov 2020),0.86
11/1/2021,BT,Best Case (Dec 2020),0.98
11/1/2021,BT,Midpoint (Dec 2020),0.92
11/1/2021,BT,Worst Case (Dec 2020),0.86
11/1/2021,MTA Consolidated,Best Case (May 2020),0.8
11/1/2021,MTA Consolidated,Midpoint (May 2020),0.7
11/1/2021,MTA Consolidated,Worst Case (May 2020),0.6
11/1/2021,MTA Consolidated,Best Case (Nov 2020),0.69
11/1/2021,MTA Consolidated,Midpoint (Nov 2020),0.525
11/1/2021,MTA Consolidated,Worst Case (Nov 2020),0.36
11/1/2021,MTA Consolidated,Best Case (Dec 2020),0.79
11/1/2021,MTA Consolidated,Midpoint (Dec 2020),0.57
11/1/2021,MTA Consolidated,Worst Case (Dec 2020),0.35
12/1/2021,Subway,Best Case (Dec 2020),0.78
12/1/2021,Subway,Midpoint (Dec 2020),0.555
12/1/2021,Subway,Worst Case (Dec 2020),0.33
12/1/2021,Bus,Best Case (Dec 2020),0.84
12/1/2021,Bus,Midpoint (Dec 2020),0.62
12/1/2021,Bus,Worst Case (Dec 2020),0.4
12/1/2021,LIRR,Best Case (Dec 2020),0.7
12/1/2021,LIRR,Midpoint (Dec 2020),0.495
12/1/2021,LIRR,Worst Case (Dec 2020),0.29
12/1/2021,MNR,Best Case (Dec 2020),0.64
12/1/2021,MNR,Midpoint (Dec 2020),0.44
12/1/2021,MNR,Worst Case (Dec 2020),0.24
12/1/2021,SIR,Best Case (Dec 2020),0.78
12/1/2021,SIR,Midpoint (Dec 2020),0.555
12/1/2021,SIR,Worst Case (Dec 2020),0.33
12/1/2021,BT,Best Case (May 2020),0.85
12/1/2021,BT,Midpoint (May 2020),0.775
12/1/2021,BT,Worst Case (May 2020),0.7
12/1/2021,BT,Best Case (Nov 2020),0.98
12/1/2021,BT,Midpoint (Nov 2020),0.92
12/1/2021,BT,Worst Case (Nov 2020),0.86
12/1/2021,BT,Best Case (Dec 2020),0.98
12/1/2021,BT,Midpoint (Dec 2020),0.92
12/1/2021,BT,Worst Case (Dec 2020),0.86
12/1/2021,MTA Consolidated,Best Case (May 2020),0.85
12/1/2021,MTA Consolidated,Midpoint (May 2020),0.725
12/1/2021,MTA Consolidated,Worst Case (May 2020),0.6
12/1/2021,MTA Consolidated,Best Case (Nov 2020),0.69
12/1/2021,MTA Consolidated,Midpoint (Nov 2020),0.525
